IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.18.31.235,4,4,0.00,555.83,0.00,LHR
104.18.85.48,4,4,0.00,557.51,0.00,LHR
162.159.40.191,4,4,0.00,561.11,0.00,LHR
172.66.206.34,4,4,0.00,562.07,0.00,LHR
172.67.136.222,4,4,0.00,562.85,0.00,LHR
172.65.230.127,4,4,0.00,563.38,0.00,LHR
104.24.243.22,4,4,0.00,563.88,0.00,LHR
104.18.67.50,4,4,0.00,566.04,0.00,LHR
104.24.137.202,4,4,0.00,566.53,0.00,LHR
104.27.32.141,4,4,0.00,567.47,0.00,LHR
172.67.177.237,4,4,0.00,569.22,0.00,LHR
104.16.147.8,4,4,0.00,569.38,0.00,LHR
104.20.0.32,4,4,0.00,571.91,0.00,LHR
104.27.38.163,4,4,0.00,572.35,0.00,LHR
104.27.45.165,4,4,0.00,572.69,0.00,LHR
104.25.87.71,4,4,0.00,573.68,0.00,LHR
104.18.234.62,4,4,0.00,573.89,0.00,LHR
104.24.232.52,4,4,0.00,574.11,0.00,LHR
104.21.207.203,4,4,0.00,581.90,0.00,LHR
172.67.134.211,4,4,0.00,587.37,0.00,LHR
172.67.64.129,4,4,0.00,589.66,0.00,LHR
104.19.42.160,4,4,0.00,591.10,0.00,LHR
172.67.124.73,4,4,0.00,591.65,0.00,LHR
172.64.232.71,4,4,0.00,592.96,0.00,LHR
104.21.125.195,4,4,0.00,596.75,0.00,LHR
172.66.167.20,4,4,0.00,597.56,0.00,LHR
172.66.46.68,4,4,0.00,599.97,0.00,LHR
104.16.31.73,4,4,0.00,600.14,0.00,LHR
172.66.214.114,4,4,0.00,601.45,0.00,LHR
172.65.215.95,4,4,0.00,602.03,0.00,LHR
104.27.24.59,4,4,0.00,603.58,0.00,LHR
104.18.160.219,4,4,0.00,603.58,0.00,LHR
172.66.216.59,4,4,0.00,604.15,0.00,LHR
172.64.50.74,4,4,0.00,604.28,0.00,LHR
104.24.231.57,4,4,0.00,604.55,0.00,LHR
172.67.180.123,4,4,0.00,604.58,0.00,LHR
172.64.150.130,4,4,0.00,606.15,0.00,LHR
104.24.206.181,4,4,0.00,607.02,0.00,LHR
104.24.139.113,4,4,0.00,607.28,0.00,LHR
104.21.229.52,4,4,0.00,607.74,0.00,LHR
104.24.225.113,4,4,0.00,608.58,0.00,LHR
172.66.151.128,4,4,0.00,608.60,0.00,LHR
104.16.244.71,4,4,0.00,610.50,0.00,LHR
104.24.255.213,4,4,0.00,611.14,0.00,LHR
104.25.93.194,4,4,0.00,611.27,0.00,LHR
104.24.186.170,4,4,0.00,612.46,0.00,LHR
172.67.231.202,4,4,0.00,614.70,0.00,LHR
104.18.119.153,4,4,0.00,614.70,0.00,LHR
104.21.50.184,4,4,0.00,617.39,0.00,LHR
104.21.115.250,4,4,0.00,619.61,0.00,LHR
104.21.31.17,4,4,0.00,619.66,0.00,LHR
104.17.248.7,4,4,0.00,619.89,0.00,LHR
104.19.126.242,4,4,0.00,620.88,0.00,LHR
104.18.80.238,4,4,0.00,621.11,0.00,LHR
104.18.25.62,4,4,0.00,624.05,0.00,LHR
104.19.18.171,4,4,0.00,624.65,0.00,LHR
104.17.32.239,4,4,0.00,625.23,0.00,LHR
